Name,Party,gid
Henry Smith,Conservative,flags-and-heraldry
John Mc Nally,Scottish National Party,flood-prevention
Peter Aldous,Conservative,flood-prevention
Geraint Davies,Labour (Co-op),flood-prevention
Rachael Maskell,Labour (Co-op),flood-prevention
Mr Laurence Robertson,Conservative,flood-prevention
Bill Esterson,Labour,foetal-alcohol-spectrum-disorder
Fiona Bruce,Conservative,foetal-alcohol-spectrum-disorder
Ms Marie Rimmer,Labour,foetal-alcohol-spectrum-disorder
Tim Loughton,Conservative,foetal-alcohol-spectrum-disorder
Kevin Brennan,Labour,folk-arts
Sir Greg Knight,Conservative,folk-arts
Greg Mulholland,Liberal Democrat,folk-arts
Pete Wishart,Scottish National Party,folk-arts
Jenny Chapman,Labour,folk-arts
John Stevenson,Conservative,food-and-drink-manufacturing
Mrs Sharon Hodgson,Labour,food-and-drink-manufacturing
Calum Kerr,Scottish National Party,food-and-drink-manufacturing
Lord Dykes,Crossbench,food-and-drink-manufacturing
Will Quince,Conservative,food-and-drink-manufacturing
Nigel Mills,Conservative,food-and-drink-manufacturing
Sir David Amess,Conservative,food-and-health
Lord Rooker,Labour,food-and-health
Jo Churchill,Conservative,food-and-health
Martyn Day,Scottish National Party,food-and-health
Countess of Mar,Crossbench,food-and-health
Lord Rea,Labour,food-and-health
Earl Baldwin of Bewdley,Crossbench,food-and-health
Baroness Gibson of Market Rasen,Labour,food-and-health
Kerry McCarthy,Labour,food-waste
Margaret Ferrier,Scottish National Party,food-waste
Baroness Jenkin of Kennington,Conservative,food-waste
Baroness Jones of Whitchurch,Labour,food-waste
Caroline Lucas,Green Party,food-waste
Rebecca Pow,Conservative,food-waste
Lord Young of Norwood Green,Labour,food-waste
Mr Clive Betts,Labour,football
Mark Field,Conservative,football
Lord Faulkner of Worcester,Labour,football
Baroness Taylor of Bolton,Labour,football
Martin Vickers,Conservative,football
Chris Heaton-Harris,Conservative,football
Mr Stephen Hepburn,Labour,football
Ian Mearns,Labour,football-supporters
Jason McCartney,Conservative,football-supporters
Ian Blackford,Scottish National Party,football-supporters
Gavin Newlands,Scottish National Party,football-supporters
Jo Stevens,Labour,football-supporters
Mr Khalid Mahmood,Labour,foreign-affairs
Baroness Nicholson of Winterbourne,Conservative,foreign-affairs
Lord Dholakia,Liberal Democrat,foreign-affairs
Nadhim Zahawi,Conservative,foreign-affairs
Lord Roberts of Llandudno,Liberal Democrat,foreign-affairs
Lord Robertson of Port Ellen,Labour,foreign-affairs
Lord Desai,Labour,foreign-affairs
Lord Rennard,Liberal Democrat,foreign-affairs
Chris Davies,Conservative,forestry
Lord Clark of Windermere,Labour,forestry
Lord Boswell of Aynho,Non-affiliated,forestry
Mrs Anne-Marie Trevelyan,Conservative,forestry
Sir Jeffrey M. Donaldson,Democratic Unionist Party,formula-one
Philip Davies,Conservative,formula-one
Ian Paisley,Democratic Unionist Party,formula-one
Mr Gavin Shuker,Labour (Co-op),formula-one
Jack Lopresti,Conservative,formula-one
Mr Alan Mak,Conservative,fourth-industrial-revolution
Peter Kyle,Labour,fourth-industrial-revolution
Nigel Huddleston,Conservative,fourth-industrial-revolution
Stephen Kinnock,Labour,fourth-industrial-revolution
Kevin Hollinrake,Conservative,fourth-industrial-revolution
Lord Willetts,Conservative,fourth-industrial-revolution
Matt Warman,Conservative,fourth-industrial-revolution
Tom Brake,Liberal Democrat,freedom-of-movement
Sir Peter Bottomley,Conservative,freedom-of-movement
Stewart Malcolm McDonald,Scottish National Party,freedom-of-movement
Mr Alistair Carmichael,Liberal Democrat,freedom-of-movement
Mark Durkan,Social Democratic & Labour Party,freedom-of-movement
Baroness Smith of Newnham,Liberal Democrat,freedom-of-movement
Andy Slaughter,Labour,freedom-of-movement
Robert Flello,Labour,freight-transport
Karl McCartney,Conservative,freight-transport
Mary Glindon,Labour,freight-transport
Kelvin Hopkins,Labour,freight-transport
Mr Andrew Mitchell,Conservative,friends-of-syria
Alison McGovern,Labour,friends-of-syria
Bob Stewart,Conservative,friends-of-syria
John Woodcock,Labour (Co-op),friends-of-syria
Lord Hylton,Crossbench,friends-of-syria
Sir Roger Gale,Conservative,frozen-british-pensions
Yasmin Qureshi,Labour,frozen-british-pensions
Ian Blackford,Scottish National Party,frozen-british-pensions
Lord German,Liberal Democrat,frozen-british-pensions
Sir Peter Bottomley,Conservative,frozen-british-pensions
Helen Whately,Conservative,fruit-and-vegetable-farmers
Pete Wishart,Scottish National Party,fruit-and-vegetable-farmers
Kerry McCarthy,Labour,fruit-and-vegetable-farmers
Gordon Henderson,Conservative,fruit-and-vegetable-farmers
Matt Warman,Conservative,fruit-and-vegetable-farmers
Caroline Lucas,Green Party,fuel-poverty-and-energy-efficiency
Rebecca Harris,Conservative,fuel-poverty-and-energy-efficiency
Kelvin Hopkins,Labour,fuel-poverty-and-energy-efficiency
Peter Aldous,Conservative,fuel-poverty-and-energy-efficiency
Dr Alan Whitehead,Labour,fuel-poverty-and-energy-efficiency
Derek Thomas,Conservative,fuel-poverty-and-energy-efficiency
Baroness Maddock,Liberal Democrat,fuel-poverty-and-energy-efficiency
Angus Brendan MacNeil,Scottish National Party,fuel-poverty-and-energy-efficiency
Jonathan Edwards,Plaid Cymru,fuel-poverty-and-energy-efficiency
Mark Durkan,Social Democratic & Labour Party,fuel-poverty-and-energy-efficiency
Mark Pawsey,Conservative,funerals-and-bereavement
Baroness Burt of Solihull,Liberal Democrat,funerals-and-bereavement
Diana Johnson,Labour,funerals-and-bereavement
Rosie Cooper,Labour,funerals-and-bereavement
Sir David Amess,Conservative,funerals-and-bereavement
Gavin Robinson,Democratic Unionist Party,funerals-and-bereavement
Stephen McPartland,Conservative,furniture-industry
Maggie Throup,Conservative,furniture-industry
Paula Sherriff,Labour,furniture-industry
Baroness Warsi,Conservative,furniture-industry
Mike Wood,Conservative,furniture-industry
Peter Kyle,Labour,further-education-and-lifelong-learning
Peter Aldous,Conservative,further-education-and-lifelong-learning
Michelle Donelan,Conservative,further-education-and-lifelong-learning
Ian Mearns,Labour,further-education-and-lifelong-learning
Stephen Hammond,Conservative,future-of-transport
Lord Faulkner of Worcester,Labour,future-of-transport
Angus Brendan MacNeil,Scottish National Party,future-of-transport
Iain Stewart,Conservative,future-of-transport
Ruth Cadbury,Labour,future-of-transport
Daniel Zeichner,Labour,future-of-work
Lord Balfe,Conservative,future-of-work
Lord Monks,Labour,future-of-work
Lord Cormack,Conservative,future-of-work
Baroness Jones of Moulsecoomb,Green Party,future-of-work
Julie Elliott,Labour,future-of-work
Lilian Greenwood,Labour,future-of-work
Mrs Flick Drummond,Conservative,future-of-work
Stephen McPartland,Conservative,future-of-work
Sarah Olney,Liberal Democrat,future-of-work
Ms Tasmina Ahmed-Sheikh,Scottish National Party,future-of-work
Sir Nicholas Soames,Conservative,game-and-wildlife-conservation
Angela Smith,Labour,game-and-wildlife-conservation
Kate Hoey,Labour,game-and-wildlife-conservation
Lord De Mauley,Conservative,game-and-wildlife-conservation
Mr Ian Liddell-Grainger,Conservative,gardening-and-horticulture
Baroness Fookes,Conservative,gardening-and-horticulture
Mrs Cheryl Gillan,Conservative,gardening-and-horticulture
Lord Kilclooney,Crossbench,gardening-and-horticulture
Lord Kirkwood of Kirkhope,Liberal Democrat,gardening-and-horticulture
Lord Palmer,Crossbench,gardening-and-horticulture
Mark Pritchard,Conservative,gardening-and-horticulture
Baroness Royall of Blaisdon,Labour,gardening-and-horticulture
John Spellar,Labour,gardening-and-horticulture
Rebecca Pow,Conservative,gardening-and-horticulture
Byron Davies,Conservative,general-aviation
Sir Gerald Howarth,Conservative,general-aviation
Kelly Tolhurst,Conservative,general-aviation
Grant Shapps,Conservative,general-aviation
Ian Paisley,Democratic Unionist Party,general-aviation
Danny Kinahan,Ulster Unionist Party,general-aviation
Lord Rotherwick,Conservative,general-aviation
Lord Stevens of Kirkwhelpington,Crossbench,general-aviation
Christian Matheson,Labour,general-aviation
Sir Roger Gale,Conservative,general-aviation
Glyn Davies,Conservative,general-aviation
Steven Paterson,Scottish National Party,general-aviation
Iain Stewart,Conservative,general-aviation
Robert Jenrick,Conservative,genocide-prevention
Lord Tugendhat,Conservative,genocide-prevention
Alison McGovern,Labour,genocide-prevention
Wes Streeting,Labour,genocide-prevention
Stephen Twigg,Labour (Co-op),genocide-prevention
Jeremy Lefroy,Conservative,genocide-prevention
Suella Fernandes,Conservative,genocide-prevention
Wendy Morton,Conservative,genocide-prevention
Stephen Doughty,Labour (Co-op),genocide-prevention
Mr Mark Williams,Liberal Democrat,global-education-for-all
Lord Low of Dalston,Crossbench,global-education-for-all
Chris Heaton-Harris,Conservative,global-education-for-all
Mike Wood,Conservative,global-education-for-all
Craig Williams,Conservative,global-education-for-all
Mike Kane,Labour,global-education-for-all
Stephen Twigg,Labour (Co-op),global-education-for-all
Natalie McGarry,Independent,global-education-for-all
Dr Dan Poulter,Conservative,global-health
Lord Crisp,Crossbench,global-health
Lord Darzi of Denham,Labour,global-health
Meg Hillier,Labour (Co-op),global-health
Norman Lamb,Liberal Democrat,global-health
Baroness Northover,Liberal Democrat,global-health
Lord Ribeiro,Conservative,global-health
Lord Kakkar,Crossbench,global-health
Mike Gapes,Labour (Co-op),global-security-and-non-proliferation
Lord Hannay of Chiswick,Crossbench,global-security-and-non-proliferation
Baroness Falkner of Margravine,Liberal Democrat,global-security-and-non-proliferation
Sir Peter Bottomley,Conservative,global-security-and-non-proliferation
Baroness Miller of Chilthorne Domer,Liberal Democrat,global-security-and-non-proliferation
Karl McCartney,Conservative,golf
Stephen Gethins,Scottish National Party,golf
Baroness Nye,Labour,golf
Jason McCartney,Conservative,golf
Corri Wilson,Scottish National Party,golf
Dawn Butler,Labour,governance-and-inclusive-leadership
Adam Holloway,Conservative,governance-and-inclusive-leadership
Baroness Benjamin,Liberal Democrat,governance-and-inclusive-leadership
Lord Boateng,Labour,governance-and-inclusive-leadership
Justin Madders,Labour,governance-and-inclusive-leadership
Lord Snape,Labour,governance-and-inclusive-leadership
Baroness Lawrence of Clarendon,Labour,governance-and-inclusive-leadership
Baroness Howells of St Davids,Labour,governance-and-inclusive-leadership
Kate Osamor,Labour (Co-op),governance-and-inclusive-leadership
Naz Shah,Labour,governance-and-inclusive-leadership
Nick Thomas-Symonds,Labour,governance-and-inclusive-leadership
Rushanara Ali,Labour,governance-and-inclusive-leadership
Dr Rosena Allin-Khan,Labour,governance-and-inclusive-leadership
Lucy Powell,Labour (Co-op),greater-manchester
Baroness Morris of Bolton,Conservative,greater-manchester
Lord Goddard of Stockport,Liberal Democrat,greater-manchester
Mr Ivan Lewis,Labour,greater-manchester
Jonathan Reynolds,Labour (Co-op),greater-manchester
Yasmin Qureshi,Labour,greater-manchester
Andrew Rosindell,Conservative,greyhound
Ian Lavery,Labour,greyhound
Baroness Golding,Labour,greyhound
Stephen Hammond,Conservative,greyhound
Grahame Morris,Labour,greyhound
Sir Alan Meale,Labour,greyhound
Chris Law,Scottish National Party,guantanamo-bay
Tom Brake,Liberal Democrat,guantanamo-bay
Mark Durkan,Social Democratic & Labour Party,guantanamo-bay
Caroline Lucas,Green Party,guantanamo-bay
Baroness Jones of Moulsecoomb,Green Party,guantanamo-bay
Andy Slaughter,Labour,guantanamo-bay
Clive Lewis,Labour,guantanamo-bay
Dr Tania Mathias,Conservative,guantanamo-bay
Sir Peter Bottomley,Conservative,guantanamo-bay
Kate Green,Labour,gypsies-travellers-and-roma
Baroness Whitaker,Labour,gypsies-travellers-and-roma
Sir Peter Bottomley,Conservative,gypsies-travellers-and-roma
Baroness Harris of Richmond,Liberal Democrat,gypsies-travellers-and-roma
Andy Slaughter,Labour,gypsies-travellers-and-roma
Deidre Brock,Scottish National Party,gypsies-travellers-and-roma
Diana Johnson,Labour,haemophilia-and-contaminated-blood
Sir Peter Bottomley,Conservative,haemophilia-and-contaminated-blood
Kevin Hollinrake,Conservative,haemophilia-and-contaminated-blood
Barbara Keeley,Labour,haemophilia-and-contaminated-blood
Jessica Morden,Labour,haemophilia-and-contaminated-blood
Andy Slaughter,Labour,haemophilia-and-contaminated-blood
Chloe Smith,Conservative,haemophilia-and-contaminated-blood
Chris Stephens,Scottish National Party,haemophilia-and-contaminated-blood
Ms Margaret Ritchie,Social Democratic & Labour Party,haemophilia-and-contaminated-blood
John Mc Nally,Scottish National Party,hair-industry
Christina Rees,Labour (Co-op),hair-industry
Peter Aldous,Conservative,hair-industry
Liz Saville Roberts,Plaid Cymru,hair-industry
Liz McInnes,Labour,hair-industry
Corri Wilson,Scottish National Party,hair-industry
Mr Ranil Jayawardena,Conservative,hampshire-and-isle-of-wight
Dr Alan Whitehead,Labour,hampshire-and-isle-of-wight
Mr Andrew Turner,Conservative,hampshire-and-isle-of-wight
Mr Alan Mak,Conservative,hampshire-and-isle-of-wight
Kit Malthouse,Conservative,hampshire-and-isle-of-wight
Sir Kevin Barron,Labour,health
Lord Hunt of Kings Heath,Labour,health
Baroness Cumberlege,Conservative,health
Helen Whately,Conservative,health
Maria Caulfield,Conservative,health
Peter Dowd,Labour,health
Baroness Masham of Ilton,Crossbench,health
Baroness Walmsley,Liberal Democrat,health
Debbie Abrahams,Labour,health-in-all-policies
Lord Low of Dalston,Crossbench,health-in-all-policies
Lord Hunt of Wirral,Conservative,health-in-all-policies
Liz McInnes,Labour,health-in-all-policies
Grahame Morris,Labour,health-in-all-policies
Jim Shannon,Democratic Unionist Party,healthy-homes-and-buildings
Hywel Williams,Plaid Cymru,healthy-homes-and-buildings
Fiona Bruce,Conservative,healthy-homes-and-buildings
Ms Margaret Ritchie,Social Democratic & Labour Party,healthy-homes-and-buildings
Mary Glindon,Labour,healthy-homes-and-buildings
Rob Marris,Labour,healthy-homes-and-buildings
David Simpson,Democratic Unionist Party,healthy-homes-and-buildings
Alex Cunningham,Labour,healthy-homes-and-buildings
Stuart Andrew,Conservative,heart-disease
Michael Dugher,Labour,heart-disease
Mike Gapes,Labour (Co-op),heart-disease
Mark Durkan,Social Democratic & Labour Party,heart-disease
Derek Thomas,Conservative,heart-disease
Baroness Masham of Ilton,Crossbench,heart-disease
Dr Tania Mathias,Conservative,heathrow-and-the-wider-economy
Ruth Cadbury,Labour,heathrow-and-the-wider-economy
Baroness Hamwee,Liberal Democrat,heathrow-and-the-wider-economy
Baroness Tonge,Non-affiliated,heathrow-and-the-wider-economy
John McDonnell,Labour,heathrow-and-the-wider-economy
Nicky Morgan,Conservative,heritage-rail
Lord Faulkner of Worcester,Labour,heritage-rail
Lord Grocott,Labour,heritage-rail
Earl of Mar and Kellie,Liberal Democrat,heritage-rail
Martin Vickers,Conservative,heritage-rail
Mr Christopher Chope,Conservative,highways
Viscount Simon,Labour,highways
Lord Brabazon of Tara,Conservative,highways
Alex Chalk,Conservative,highways
Alison McGovern,Labour,hillsborough-disaster
Graham Evans,Conservative,hillsborough-disaster
Maria Eagle,Labour,hillsborough-disaster
Derek Twigg,Labour,hillsborough-disaster
Sir Peter Bottomley,Conservative,hillsborough-disaster
Bob Blackman,Conservative,hindus
Mr Virendra Sharma,Labour,hindus
Dr Matthew Offord,Conservative,hindus
Lord Dholakia,Liberal Democrat,hindus
Baroness Flather,Crossbench,hindus
Mike Gapes,Labour (Co-op),hindus
Sir Greg Knight,Conservative,historic-vehicles
Kelvin Hopkins,Labour,historic-vehicles
Robert Flello,Labour,historic-vehicles
Mr Christopher Chope,Conservative,historic-vehicles
John Cryer,Labour,historic-vehicles
Mike Freer,Conservative,hiv-and-aids
Baroness Masham of Ilton,Crossbench,hiv-and-aids
Stuart Andrew,Conservative,hiv-and-aids
Baroness Barker,Liberal Democrat,hiv-and-aids
Stephen Doughty,Labour (Co-op),hiv-and-aids
Baroness Gould of Potternewton,Labour,hiv-and-aids
Conor Burns,Conservative,holy-see
Sir Edward Leigh,Conservative,holy-see
Robert Flello,Labour,holy-see
Patrick Grady,Scottish National Party,holy-see
Mary Glindon,Labour,holy-see
Stephen Pound,Labour,holy-see
John Pugh,Liberal Democrat,holy-see
Angus Brendan MacNeil,Scottish National Party,holy-see
Lord Balfe,Conservative,holy-see
Baroness Hooper,Conservative,holy-see
Mark Menzies,Conservative,holy-see
Carolyn Harris,Labour,home-electrical-safety
Craig Williams,Conservative,home-electrical-safety
Margaret Ferrier,Scottish National Party,home-electrical-safety
Gerald Jones,Labour,home-electrical-safety
Mrs Sheryll Murray,Conservative,home-electrical-safety
Jessica Morden,Labour,home-electrical-safety
Lord Tope,Liberal Democrat,home-electrical-safety
David Mackintosh,Conservative,homelessness
Dr Paul Monaghan,Scottish National Party,homelessness
Mr David Burrowes,Conservative,homelessness
Neil Coyle,Labour,homelessness
Will Quince,Conservative,homelessness
Michael Tomlinson,Conservative,homelessness
Mr Virendra Sharma,Labour,honour-based-abuse.
Sir Gerald Howarth,Conservative,honour-based-abuse.
Baroness Cox,Crossbench,honour-based-abuse.
Lord Dholakia,Liberal Democrat,honour-based-abuse.
Dame Caroline Spelman,Conservative,horse
Baroness Mallalieu,Labour,horse
Victoria Prentis,Conservative,horse
James Gray,Conservative,horse
Mr Laurence Robertson,Conservative,horse
Chris Davies,Conservative,horse
Matt Warman,Conservative,horse
Lord Stoddart of Swindon,Independent Labour,horse
Baroness Masham of Ilton,Crossbench,horse
Fabian Hamilton,Labour,hospice-and-palliative-care
Baroness Finlay of Llandaff,Crossbench,hospice-and-palliative-care
Stuart Andrew,Conservative,hospice-and-palliative-care
Robert Flello,Labour,hospice-and-palliative-care
Peter Aldous,Conservative,housing-and-care-for-older-people
Lord Best,Crossbench,housing-and-care-for-older-people
Ruth Cadbury,Labour,housing-and-care-for-older-people
Mrs Cheryl Gillan,Conservative,housing-and-care-for-older-people
Baroness Andrews,Labour,housing-and-care-for-older-people
Baroness Barker,Liberal Democrat,housing-and-care-for-older-people
Lord Stoneham of Droxford,Liberal Democrat,housing-and-care-for-older-people
Baroness Howarth of Breckland,Crossbench,housing-and-care-for-older-people
James Cartlidge,Conservative,housing-and-planning
Helen Hayes,Labour,housing-and-planning
Lord Shipley,Liberal Democrat,housing-and-planning
Lord Best,Crossbench,housing-and-planning
Mr Mark Prisk,Conservative,housing-and-planning
Stephen Pound,Labour,housing-and-planning
Ann Clwyd,Labour,human-rights
Mr Dominic Grieve,Conservative,human-rights
Margaret Ferrier,Scottish National Party,human-rights
Mark Durkan,Social Democratic & Labour Party,human-rights
Dr Sarah Wollaston,Conservative,human-rights
Fiona Mactaggart,Labour,human-trafficking-and-modern-slavery
Baroness Butler-Sloss,Crossbench,human-trafficking-and-modern-slavery
Jess Phillips,Labour,human-trafficking-and-modern-slavery
Mr David Burrowes,Conservative,human-trafficking-and-modern-slavery
Corri Wilson,Scottish National Party,human-trafficking-and-modern-slavery
Mark Durkan,Social Democratic & Labour Party,human-trafficking-and-modern-slavery
Maggie Throup,Conservative,human-trafficking-and-modern-slavery
Clive Lewis,Labour,humanist
Crispin Blunt,Conservative,humanist
Lord Warner,Crossbench,humanist
Lord Taverne,Liberal Democrat,humanist
Lord Garel-Jones,Conservative,humanist
Kelvin Hopkins,Labour,humanist
Baroness Flather,Crossbench,humanist
Baroness Massey of Darwen,Labour,humanist
Lord Dubs,Labour,humanist
Frank Field,Labour,hunger
Bishop of Truro,Bishops,hunger
Heidi Allen,Conservative,hunger
Mrs Emma Lewell-Buck,Labour,hunger
Dr Philippa Whitford,Scottish National Party,hunger
Steve Double,Conservative,hunger
Baroness Jenkin of Kennington,Conservative,hunger
Liam Byrne,Labour,inclusive-growth
Dame Caroline Spelman,Conservative,inclusive-growth
Lord Wrigglesworth,Liberal Democrat,inclusive-growth
Bishop of Birmingham,Bishops,inclusive-growth
Rushanara Ali,Labour,inclusive-growth
Alison McGovern,Labour,inclusive-growth
Chris White,Conservative,inclusive-growth
Seema Malhotra,Labour (Co-op),inclusive-growth
Mr Virendra Sharma,Labour,indian-traditional-sciences
Bob Blackman,Conservative,indian-traditional-sciences
Lord Hussain,Liberal Democrat,indian-traditional-sciences
Dr Matthew Offord,Conservative,indian-traditional-sciences
Nick Thomas-Symonds,Labour,industrial-heritage
Nigel Adams,Conservative,industrial-heritage
Mr Kevan Jones,Labour,industrial-heritage
Lord Faulkner of Worcester,Labour,industrial-heritage
Alison Thewliss,Scottish National Party,infant-feeding-and-inequalities
Karen Lumley,Conservative,infant-feeding-and-inequalities
Julie Elliott,Labour,infant-feeding-and-inequalities
Mark Durkan,Social Democratic & Labour Party,infant-feeding-and-inequalities
Kirsty Blackman,Scottish National Party,infant-feeding-and-inequalities
Julian Knight,Conservative,infant-feeding-and-inequalities
Mrs Sharon Hodgson,Labour,infant-feeding-and-inequalities
Mrs Flick Drummond,Conservative,infant-feeding-and-inequalities
Melanie Onn,Labour,inflammatory-bowel-disease
Jim Shannon,Democratic Unionist Party,inflammatory-bowel-disease
Corri Wilson,Scottish National Party,inflammatory-bowel-disease
Mrs Anne Main,Conservative,inflammatory-bowel-disease
Stephen Hammond,Conservative,infrastructure
Lord Chidgey,Liberal Democrat,infrastructure
Alan Brown,Scottish National Party,infrastructure
Lilian Greenwood,Labour,infrastructure
Mr Mark Prisk,Conservative,infrastructure
Neil Carmichael,Conservative,infrastructure
Dr Alan Whitehead,Labour,infrastructure
Kelvin Hopkins,Labour,infrastructure
Lord Berkeley,Labour,infrastructure
Mr Ranil Jayawardena,Conservative,infrastructure
Chris Green,Conservative,infrastructure
Craig Tracey,Conservative,insurance-and-financial-services
Lord Hunt of Wirral,Conservative,insurance-and-financial-services
Sir Edward Leigh,Conservative,insurance-and-financial-services
Louise Haigh,Labour,insurance-and-financial-services
David Tredinnick,Conservative,integrated-healthcare
Oliver Colvile,Conservative,integrated-healthcare
Lord Colwyn,Conservative,integrated-healthcare
Mr Virendra Sharma,Labour,integrated-healthcare
Pete Wishart,Scottish National Party,intellectual-property
Jim Dowd,Labour,intellectual-property
Andrew Bingham,Conservative,intellectual-property
Lord Clement-Jones,Liberal Democrat,intellectual-property
David Warburton,Conservative,intellectual-property
Peter Aldous,Conservative,intelligent-energy
Lord Redesdale,Liberal Democrat,intelligent-energy
Callum McCaig,Scottish National Party,intelligent-energy
Dr Alan Whitehead,Labour,intelligent-energy
Sir Peter Bottomley,Conservative,interfaith
Lord Harries of Pentregarth,Crossbench,interfaith
Lord Ahmed,Non-affiliated,interfaith
Lord Singh of Wimbledon,Crossbench,interfaith
Lord Hameed,Crossbench,interfaith
Mr Virendra Sharma,Labour,interfaith
Baroness Neuberger,Crossbench,interfaith
Pauline Latham,Conservative,international-mining
Sir Henry Bellingham,Conservative,international-mining
Tom Blenkinsop,Labour,international-mining
Mr Gary Streeter,Conservative,international-mining
Lord Hain,Labour,international-mining
Paul Blomfield,Labour,international-students
Lord Bilimoria,Crossbench,international-students
Ben Howlett,Conservative,international-students
Baroness Uddin,Non-affiliated,international-students
Mr Geoffrey Robinson,Labour,international-students
Alison Thewliss,Scottish National Party,international-students
Baroness Warwick of Undercliffe,Labour,international-students
Geoffrey Clifton-Brown,Conservative,international-trade-and-investment
Douglas Chapman,Scottish National Party,international-trade-and-investment
Ms Tasmina Ahmed-Sheikh,Scottish National Party,international-trade-and-investment
Duke of Montrose,Conservative,international-trade-and-investment
Baroness Northover,Liberal Democrat,international-trade-and-investment
Chris Leslie,Labour (Co-op),international-trade-and-investment
Robert Jenrick,Conservative,international-trade-and-investment
Chi Onwurah,Labour,internet-communications-and-technology
Matt Warman,Conservative,internet-communications-and-technology
Lord McNally,Liberal Democrat,internet-communications-and-technology
Nigel Huddleston,Conservative,internet-communications-and-technology
Carol Monaghan,Scottish National Party,internet-communications-and-technology
Lord Harris of Haringey,Labour,internet-communications-and-technology
Calum Kerr,Scottish National Party,internet-communications-and-technology
Neil Carmichael,Conservative,internet-communications-and-technology
Stephen Timms,Labour,internet-communications-and-technology
Kevin Hollinrake,Conservative,internet-communications-and-technology
Lord Goddard of Stockport,Liberal Democrat,internet-communications-and-technology
James Heappey,Conservative,internet-communications-and-technology
Scott Mann,Conservative,internet-communications-and-technology
Louise Haigh,Labour,internet-communications-and-technology
Lord Mackenzie of Framwellgate,Non-affiliated,internet-communications-and-technology
Lord Patel,Crossbench,internet-communications-and-technology
Lord Cotter,Liberal Democrat,internet-communications-and-technology
Lord Teverson,Liberal Democrat,internet-communications-and-technology
Mr Virendra Sharma,Labour,islamic-finance
Lord Sheikh,Conservative,islamic-finance
Stephen Timms,Labour,islamic-finance
Lord Newby,Liberal Democrat,islamic-finance
Earl of Lindsay,Conservative,islamic-finance
Lord Gordon of Strathblane,Labour,islamic-finance
Baroness Bowles of Berkhamsted,Liberal Democrat,islamic-finance
Lord Hussain,Liberal Democrat,islamic-finance
Baroness Uddin,Non-affiliated,islamic-finance
Wes Streeting,Labour,islamic-finance
Stuart Andrew,Conservative,islamophobia
Naz Shah,Labour,islamophobia
Baroness Warsi,Conservative,islamophobia
Mr Khalid Mahmood,Labour,islamophobia
Wes Streeting,Labour,islamophobia
Peter Grant,Scottish National Party,islamophobia
Gareth Thomas,Labour (Co-op),islamophobia
Ms Tasmina Ahmed-Sheikh,Scottish National Party,islamophobia
Simon Danczuk,Independent,islamophobia
Jason McCartney,Conservative,itv
Nigel Adams,Conservative,itv
Luciana Berger,Labour (Co-op),itv
Baroness Bonham-Carter of Yarnbury,Liberal Democrat,itv
Lord Dubs,Labour,itv
Gareth Thomas,Labour (Co-op),jainism
Bob Blackman,Conservative,jainism
Mr Mark Williams,Liberal Democrat,jainism
Stephen Twigg,Labour (Co-op),jainism
Mr Steve Reed,Labour (Co-op),jainism
Kelvin Hopkins,Labour,jazz-appreciation
Lord Colwyn,Conservative,jazz-appreciation
Mark Pritchard,Conservative,jazz-appreciation
Baroness Coussins,Crossbench,jazz-appreciation
David Morris,Conservative,jazz-appreciation
Lord Crathorne,Conservative,jazz-appreciation
John Mann,Labour,jazz-appreciation
Alison Thewliss,Scottish National Party,jazz-appreciation
Oliver Dowden,Conservative,jews
Wes Streeting,Labour,jews
Mike Freer,Conservative,jews
Baroness Ludford,Liberal Democrat,jews
Ian Mearns,Labour,jews
Dr Matthew Offord,Conservative,jews
Lord Palmer of Childs Hill,Liberal Democrat,jews
Ms Gisela Stuart,Labour,jews
Mr David Lammy,Labour,jews
Bob Blackman,Conservative,jews
Emma Reynolds,Labour,key-cities
Conor Burns,Conservative,key-cities
Baroness Eaton,Conservative,key-cities
Lord Foster of Bishop Auckland,Labour,key-cities
Mrs Madeleine Moon,Labour,kidney
Glyn Davies,Conservative,kidney
Lord Davies of Coity,Labour,kidney
Yasmin Qureshi,Labour,kidney
Richard Benyon,Conservative,kidney
Rosie Cooper,Labour,kidney
Mr Mark Harper,Conservative,learning-disability
Baroness Hollins,Crossbench,learning-disability
Lord Wigley,Plaid Cymru,learning-disability
Neil Coyle,Labour,learning-disability
Mr Barry Sheerman,Labour (Co-op),learning-disability
Mike Wood,Conservative,learning-disability
Mrs Maria Miller,Conservative,learning-disability
Dr Lisa Cameron,Scottish National Party,learning-disability
Mark Durkan,Social Democratic & Labour Party,learning-disability
Andy McDonald,Labour,learning-disability
Henry Smith,Conservative,learning-disability
Tom Brake,Liberal Democrat,learning-disability
Sir David Amess,Conservative,learning-disability
Justin Tomlinson,Conservative,learning-disability
Heidi Allen,Conservative,learning-disability
Grahame Morris,Labour,learning-disability
Stephen McPartland,Conservative,learning-disability
William Wragg,Conservative,learning-disability
Bishop of Ely,Bishops,learning-disability
Lord Adebowale,Crossbench,learning-disability
Baroness Thomas of Winchester,Liberal Democrat,learning-disability
Sir Peter Bottomley,Conservative,leasehold-and-commonhold-reform
Jim Fitzpatrick,Labour,leasehold-and-commonhold-reform
Baroness Gardner of Parkes,Conservative,leasehold-and-commonhold-reform
Mr David Lammy,Labour,leasehold-and-commonhold-reform
Keir Starmer,Labour,legal-aid
