Title,Purpose,Category,gid
All-Party Parliamentary Group for Golf,To support the sport of golf.,Subject Group,golf
All-Party Parliamentary Group for Governance and Inclusive Leadership,To raise the issue of inclusive leadership and governance in all areas of society with the aim of making it the norm for people from visible minorities to be in positions of power and influence throughout the UK.,Subject Group,governance-and-inclusive-leadership
All-Party Parliamentary Group for Greater Manchester,"To bring MPs and Peers of all parties together with key leaders - including the mayor and those in local government, the private sector and social enterprise - to help maximise future investment in the region for the benefit of all its local communities.",Subject Group,greater-manchester
All-Party Parliamentary Greyhound Group,To raise parliamentary awareness of issues relating to the greyhound industry. To promote the sport and related welfare issues.,Subject Group,greyhound
All-Party Parliamentary Group on Guantanamo Bay,To bring together parliamentarians in support of the Obama administrations pledge to close Guantanamo Bay. To work with counterparts across the Atlantic and add support for future administrations to release remaining detainees and close Guantanamo Bay.,Subject Group,guantanamo-bay
"All-Party Parliamentary Group for Gypsies, Travellers and Roma","To provide a forum for parliamentarians concerned about issues facing Gypsies, Travellers and Roma.",Subject Group,gypsies-travellers-and-roma
All-Party Parliamentary Group on Haemophilia and Contaminated Blood,"To promote awareness of, and campaign for, people with haemophilia and other bleeding disorders and people infected with Hepatitis C and HIV due to contaminated blood products used in their NHS treatment.",Subject Group,haemophilia-and-contaminated-blood
All-Party Parliamentary Group on the Hair Industry,"To promote the role of qualified, professional hairdressers and barbers and facilitate an informed debate amongst parliamentarians regarding all aspects of the industry.",Subject Group,hair-industry
All-Party Parliamentary Group on Hampshire and Isle of Wight,To bring MPs of all parties together with key leaders from local government and the private sector to help maximise future investment in Hampshire and the Isle of Wight for the benefit of all its local communities and local economies; and to ensure improved governance arrangements through devolution of powers.,Subject Group,hampshire-and-isle-of-wight
All-Party Parliamentary Health Group,"The APPG is an all-party forum dedicated to disseminating knowledge, generating debate and facilitating engagement on health issues amongst Members of both Houses of Parliament.",Subject Group,health
All-Party Parliamentary Group on Health in all Policies,"Recognising that the determinants of health cannot be influenced by health policy on its own, the APPG aims to promote consideration of and explore the effects of all national public policy on the health of the populations of the UK, and particularly on health inequalities between different population groups.",Subject Group,health-in-all-policies
All-Party Parliamentary Group on Healthy Homes and Buildings,"To bring together businesses, campaign organisations and decision makers to promote the vital contribution made to the UK's health, wellbeing and economic prosperity by creating and building warm, dry, noise and energy efficient, safe, secure and accessible homes and buildings.",Subject Group,healthy-homes-and-buildings
All-Party Parliamentary Group for Heart Disease,"To help ensure everyone living with cardiovascular disease (CVD) has access to high quality, integrated health and social care services, including by establishing CVD as a political priority, informing parliamentarians about diagnosis and treatment for people living with CVD and how these can be improved, monitoring the impact of government decisions on CVD, and ensuring policies are evidence based and patient centred.",Subject Group,heart-disease
All-Party Parliamentary Group on Heathrow and the Wider Economy,"To examine the implications of new runway capacity in London, in particular at Heathrow.",Subject Group,heathrow-and-the-wider-economy
All-Party Parliamentary Group on Heritage Rail,"To brief parliamentarians about heritage railways, the contribution they make to their local and regional economies and the skills training opportunities involved.",Subject Group,heritage-rail
All-Party Parliamentary Group for Highways,"To share and discuss information about the maintenance of the UK's highways, both national and local.",Subject Group,highways
All-Party Parliamentary Group on the Hillsborough Disaster,"To provide a forum for parliamentarians to discuss the securing of ""Justice for the 96"" following the September 2012 publication of the Hillsborough independent panel report.",Subject Group,hillsborough-disaster
All-Party Parliamentary Group for British Hindus,To support and promote the interests of British Hindus to Parliament; to encourage political parties in the UK to actively engage with the British Hindu community to ensure proper Hindu representation at all levels of politics; to consider related international issues on behalf of British Hindus; to press for more government engagement with the Hindu community; to highlight and acknowledge the exceptional and significant contribution of the British Hindu community in all walks of life.,Subject Group,hindus
All-Party Parliamentary Historic Vehicles Group,"To encourage interest in, and the promotion and use of, vintage historic and classic vehicles.",Subject Group,historic-vehicles
All-Party Parliamentary Group on HIV and AIDS,"To facilitate good policy making, respectful of human rights, that will limit the spread of HIV, mitigate its impact and support those already living with the virus, in the UK and internationally, and to hold the government to account for its relevant commitments.",Subject Group,hiv-and-aids
All-Party Parliamentary Group on the Holy See,To monitor the relationship between the UK and the Holy See and call representatives of faith communities and the foreign/diplomatic service to brief the group on issues pertaining to the Vatican and the work of the Catholic church.,Subject Group,holy-see
All-Party Parliamentary Home Electrical Safety Group,To raise parliamentary awareness of issues relating to electrical safety in domestic dwellings and to promote the prevention of accidents with electricity; to provide a forum for parliamentarians to discuss issues pertinent to their constituents on electrical safety; and to hold inquiries into policy issues and provide reports.,Subject Group,home-electrical-safety
All-Party Parliamentary Group for Ending Homelessness,To bring together parliamentarians to scrutinise and make recommendations for the work fo a wide range of departments who are key to ending homelessness.,Subject Group,homelessness
"All-Party Parliamentary Group on ""Honour"" Based Abuse","To debate and scrutinise issues relating to ""honour"" based abuse. To raise awareness of ""honour"" based abuse with a view to attempting to expose and eradicate such practices in the UK.",Subject Group,honour-based-abuse.
All-Party Parliamentary Group for the Horse,"To promote the welfare of horses (including all equines, horse riders and users) and matters affecting the horse industry.",Subject Group,horse
All-Party Parliamentary Group on Hospice and Palliative Care,"To maintain and develop an interest in hospice and palliative care, and generally, in the case of those with life-limiting or life-threatening condition.",Subject Group,hospice-and-palliative-care
All-Party Parliamentary Group on Housing and Care for Older People,"To promote discussion and set the agenda for developing better, more joined up housing care for older people, promising greater choices in later life.",Subject Group,housing-and-care-for-older-people
All-Party Parliamentary Group on Housing and Planning,To establish a collaborative platform aimed toward securing workable solutions to Britain's national housing emergency.,Subject Group,housing-and-planning
All-Party Parliamentary Human Rights Group,To raise the profile of international human rights issues within Parliament and to investigate and publicise human rights abuses occurring outside the UK.,Subject Group,human-rights
All-Party Parliamentary Group on Human Trafficking and Modern Slavery,To raise awareness of the scale and effects of human trafficking into the UK and EU; to seek solutions to reduce supply and demand and to improve welfare provisions for victims.,Subject Group,human-trafficking-and-modern-slavery
All-Party Parliamentary Humanist Group,To bring together non religious MPs and peers to discuss matters of shared interests.,Subject Group,humanist
All-Party Parliamentary Group on Hunger,"To raise the issue of hunger in this country, to try to understand the underlying causes and ways of addressing the issue.",Subject Group,hunger
All-Party Parliamentary Group on Inclusive Growth,"To create a parliamentary space for a high-level dialogue between MPs, peers, businesses, faith groups, trade unions and academics. The goal is to identify how to reconnect wealth creation and social justice.",Subject Group,inclusive-growth
All-Party Parliamentary Group on Indian Traditional Sciences,"To promote and facilitate informed discussion on issues concerning all Indian traditional sciences practised in the UK (Ayurveda, Jyotish, Indian classical music, Siddha, Unani, Vastu, Yoga etc) within Parliament by providing a forum for cross-party parliamentarians, senior policy makers, academics, leading community figures and other stakeholders.",Subject Group,indian-traditional-sciences
All-Party Parliamentary Group on Industrial Heritage,To promote the industrial heritage of the United Kingdom.,Subject Group,industrial-heritage
All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Subject Group,infant-feeding-and-inequalities
All-Party Parliamentary Group on Inflammatory Bowel Disease,"To work with Parliamentarians and stakeholders to raise awareness of Crohn's Disease, Ulcerative Colitis and other forms of Inflammatory Bowel Disease to ensure high quality, sustainable, patient-centred clinical care, drive pioneering research and reduce discrimination in accessing services across the UK.",Subject Group,inflammatory-bowel-disease
All-Party Parliamentary Group on Infrastructure,"To highlight the importance of infrastructure, engineering and the use of underground space to the economy and society, and to hear from experts and discuss matters arising.",Subject Group,infrastructure
All-Party Parliamentary Group on Insurance and Financial Services,"To examine issues of interest to the insurance and broader financial sectors, especially where there are legislative implications.",Subject Group,insurance-and-financial-services
All-Party Parliamentary Group for Integrated Healthcare,To provide a forum for discussion on issues related to integrated healthcare; to stimulate well-informed debate among politicians and stakeholders; and to contribute towards the development of knowledge and policies on the subject.,Subject Group,integrated-healthcare
All-Party Parliamentary Group on Intellectual Property,To debate and highlight the value of intellectual property (IP) and the importance of its promotion and protection.,Subject Group,intellectual-property
All-Party Parliamentary Group for Intelligent Energy,"To develop among parliamentarians and key opinion formers a deeper understanding of energy efficiency technologies and processes through parliamentary activity, public information and broad political debate.",Subject Group,intelligent-energy
All-Party Parliamentary Interfaith Group,To help parliamentarians be aware of the religious dimensions to current issues.,Subject Group,interfaith
All-Party Parliamentary Group on International Mining,"To facilitate greater unbiased debate on the role of UK international mining companies, their role in the social and environmental development of host nations, and the role of the UK within the sector.",Subject Group,international-mining
All-Party Parliamentary Group on International Students,"To recognise the internationalisation and global prominence of UK education; promote the value of international students to UK education, economy and 'soft power'; raise awareness of issues which affect international students and UK education; and provide a platform for collaboration between parliamentarians, international education institutions and professionals and business leaders.",Subject Group,international-students
All-Party Parliamentary Group for International Trade and Investment,"To discuss ways in which the UK government can help UK businesses export and take part in international trade and promote links between parliamentarians, industry and government.",Subject Group,international-trade-and-investment
"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)","To further the understanding of policy issues affecting the internet, communications and technology sector between parliamentarians, the industry, consumer groups and academia.",Subject Group,internet-communications-and-technology
All-Party Parliamentary Group on Islamic Finance,"To give the Islamic finance industry a voice in Parliament; to address issues as they arise such as Sukuk issuances, inclusivity, regulation and taxation whilst positioning the UK as the European hub of Islamic financial services, and also to play a wider role in promoting ethical finance.",Subject Group,islamic-finance
All-Party Parliamentary Group on Islamophobia,"To combat Islamophobia by investigating the forms, manifestations and extent of prejudice, discrimination and hatred against Muslims in the UK, while reviewing legislation and policy, the recording and prosecution of hate crimes, the role of the media, and the use of social media platforms as a means for spreading hatred.",Subject Group,islamophobia
All-Party Parliamentary ITV Group,To provide a forum for parliamentarians to consider and discuss the role and contribution of ITV in broadcasting in the UK and regulatory issues.,Subject Group,itv
All-Party Parliamentary Group on Jainism,To raise the profile of Jainism in the UK.,Subject Group,jainism
All-Party Parliamentary Jazz Appreciation Group,"To promote and appreciation of jazz music and to engage Parliament in an awareness of the issues facing jazz music, musicians and promoters.",Subject Group,jazz-appreciation
All-Party Parliamentary Group on British Jews,"To promote understanding of the aspirations and challenges of the UK 's Jewish community, with topics including religious freedoms and religious practices, faith based education, welfare and social justice; and to celebrate the culture and the achievements of the UK's Jewish Community.",Subject Group,jews
All-Party Parliamentary Group on Key Cities,To promote the work of the Key Cities group to empower cities across the UK to drive economic growth and improve public services for their residents.,Subject Group,key-cities
All-Party Parliamentary Kidney Group,To improve understanding in Parliament of kidney disease and transplant medicine and promote improvements in the health and care services that are available to improve the health of people with renal failure.,Subject Group,kidney
All-Party Parliamentary Group on Learning Disability,"To look at the issues facing people with a learning disability and their families. The group looks at the key issues of the day, across areas including health, social care, education, work and benefits.",Subject Group,learning-disability
All-Party Parliamentary Group on Leasehold and Commonhold Reform,To discuss leasehold and commonhold legislation and how the current law and systems can be improved.,Subject Group,leasehold-and-commonhold-reform
All-Party Parliamentary Group on Legal Aid,To promote parliamentary and public understanding of the importance of the role of publicly funded legal services.,Subject Group,legal-aid
All-Party Parliamentary Group on Legal and Constitutional Affairs,"To facilitate greater interaction between Parliament and the different branches of the legal profession, and to promote dialogue and understanding of legal and constitutional issues relating to justice and the legal services sector.",Subject Group,legal-and-constitutional-affairs
"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To support and protect the rights of lesbian, gay, bisexual, and transgender (LGBT) people around the world.",Subject Group,lesbian-gay-bisexual-and-transgender-rights
All-Party Parliamentary Group for Libraries,"To promote the role of libraries in society and the economy, and examine themes in the wider information and knowledge sector.",Subject Group,libraries
All-Party Parliamentary Group for Life Sciences,To raise awareness and understanding of the valuable contribution the life sciences sector provides to the health and wealth of the nation.,Subject Group,life-sciences
All-Party Parliamentary Group on Light Rail,"To encourage, promote and develop discussions relating to light rail and its many merits as a mode of transport.",Subject Group,light-rail
All-Party Parliamentary Group on Limits to Growth,"To create the space for cross-party dialogue on environmental and social limits to growth; to assess the evidence for such limits, identify the risks and build support for appropriate responses; and to contribute to the international debate on redefining prosperity and rethinking growth.",Subject Group,limits-to-growth
All-Party Parliamentary Group on Listed Properties,"To speak up for listed properties in the UK and raise awareness in Parliament of the role played by their owners in protecting the nation's heritage; and to advocate policies that support owners in preserving listed properties,including tax and planning reform.",Subject Group,listed-properties
All-Party Parliamentary Group on Literacy,"To champion the fight to improve public understanding of the vital importance and impact of literacy to ensure parliamentary knowledge and support for the latest research, policy and best practice in the field of literacy.",Subject Group,literacy
All-Party Parliamentary Group on Liver Health,"To promote discussion of liver disease, including its major causes of viral hepatitis, alcohol and obesity, and to raise matters of concern with, and make representations to, government and other policy makers.",Subject Group,liver-health
All-Party Parliamentary Local Authority Pension Funds,To discuss the issues and concerns of local authority pension funds and the work of the Local Authority Pension Fund Forum.,Subject Group,local-authority-pension-funds
All-Party Parliamentary Group on Local Democracy,To promote the virtues of exiting forms of first tier local authorities; to inform policy making and initiatives affecting first tier local authorities; and to stimulate debate on models of community governance.,Subject Group,local-democracy
All-Party Parliamentary Group on Local Government,To discuss issues of interest and concern to parliamentarians and councillors about local government.,Subject Group,local-government
All-Party Parliamentary Group for London,"To promote London in the interests of all its people, places and businesses as a global city and powerhouse of the economy.",Subject Group,london
All-Party Parliamentary Group on the London-Stansted-Cambridge Corridor,To provide a forum for parliamentarians to consider and discuss how best to promote economic development and enhance quality of life in the London-Stansted-Cambridge corridor,Subject Group,london-stansted-cambridge-corridor
All-Party Parliamentary Group for London's Planning and Built Environment,"To explore the social, economic and environmental issues affecting London at a strategic level and build consensus as to the ways in which these might be addressed.",Subject Group,londons-planning-and-built-environment
All-Party Parliamentary Group for Looked After Children and Care Leavers,"To promote the voice of children and young people in care, in order to promote first class government policy for children in care.",Subject Group,looked-after-children-and-care-leavers
All-Party Parliamentary Group on Lyme Disease,To raise awareness of and campaign for Lyme Disease treatment and research.,Subject Group,lyme-disease
All-Party Parliamentary Group on the Magistracy,To raise the profile of issues which impact on magistrates' courts; to encourage a co-ordinated approach to policies which affect the magistracy; and to work through parliamentary channels to promote the sound administration of justice.,Subject Group,magistracy
All-Party Parliamentary Group on Malaria and Neglected Tropical Diseases,"To raise awareness of malaria and neglected tropical diseases amongst parliamentarians; and to encourage Government to provide political will, leadership and sustainable funding for the necessary prevention and treatment.",Subject Group,malaria-and-neglected-tropical-diseases
All-Party Parliamentary Group on Management,To promote and foster closer understanding between parliamentarians and UK managers from across all sectors.,Subject Group,management
All-Party Parliamentary Manufacturing Group,"To encourage the exchange of knowledge and understanding between Parliament and the manufacturing industries, helping to raise the profile of manufacturing both inside and outside of Parliament.",Subject Group,manufacturing
All-Party Parliamentary Group on Marine Energy and Tidal Lagoons,"To promote the economic, supply chain and energy security benefits from the development of marine energy resources in and around the UK.",Subject Group,marine-energy-and-tidal-lagoons
All-Party Parliamentary Group for Maritime and Ports,To provide a forum for the exchange of views between parliamentarians and leading figures in the shipping and ports industries.,Subject Group,maritime-and-ports
All-Party Parliamentary Markets Group,To ensure the viability and stress the economic importance of the UK's retail markets industry.,Subject Group,markets
All-Party Parliamentary Group on Maternity,"To improve the quality of maternity services, raise awareness of the contribution maternity care can make to public health, and improve support during the first 1000 days of parenthood.",Subject Group,maternity
All-Party Parliamentary Group for the Mayflower Pilgrims,To promote the historic roots of the Mayflower Pilgrims in the United Kingdom in the lead up to the 400th anniversary of their arrival in the United States.,Subject Group,mayflower-pilgrims
All-Party Parliamentary Media Group,To provide a forum for Members to discuss public policy on regulation of the media.,Subject Group,media
All-Party Parliamentary Group on Medical Research,"To provide an ongoing forum and network for parliamentarians with an interest in medical research; to facilitate collaboration between parliamentarians and medical research bodies; to provide MPs and peers with up to date information on developments in medical research, including aspects of public health, ethics of research, and the implications of research findings for society.",Subject Group,medical-research
All-Party Parliamentary Group for Non Profit Making Members' Clubs,To support non profit making members clubs across the United Kingdom.,Subject Group,members-clubs
All-Party Parliamentary Group on Meningitis,"To provide a forum for MPs and Peers to work on behalf of people affected by meningitis, raising issues of concern with government and other policy makers and keeping meningitis high on the agenda.",Subject Group,meningitis
All-Party Parliamentary Group on Mental Health,To inform parliamentarians about all aspects of mental health.,Subject Group,mental-health
All-Party Parliamentary Group on Mersey Dee North Wales,"To forge further economic, social and political links in the unique, urban cross-border areas of North Wales, the Wirral and Cheshire West and Chester.",Subject Group,mersey-dee-north-wales
All-Party Parliamentary Group on Micronutrients and Health,"To promote awareness and understanding, and help form strategies in Parliament, of the vital role of micronutrients (vitamins and minerals) in helping people to be healthier, and of the importance of nutritional food supplements, which are now taken by over 25 million consumers, 60% of them on a daily basis.",Subject Group,micronutrients-and-health
All-Party Parliamentary Group on Migration,To promote and facilitate evidence based debate on migration and its impact on the UK economy and society among parliamentarians.,Subject Group,migration
All-Party Parliamentary Group on Mindfulness,"To review research evidence, current best practice, extent and success of implementation, and potential developments in the application of mindfulness within a range of policy areas, and to develop policy recommendations for government based on these findings.",Subject Group,mindfulness
All-Party Parliamentary Group for Mining and Quarrying,"To share and distribute information and updates on the UK Minerals sector, particularly the construction aggregates sector.",Subject Group,mining-and-quarrying
All-Party Parliamentary Group on Modern Languages,"To explore the educational, skills-related, employment, competitive and cultural benefits of learning and using languages throughout the UK; to provide a parliamentary forum for information exchange and consultation; to encourage and support policies and action improving the take-up of languages in schools, further and higher education, in the workplace and in the community.",Subject Group,modern-languages
All-Party Parliamentary Motor Group,"To debate current and future issues of strategic importance to the UK’s automotive industry, motorsport industry and vehicle users focussing on the role of the motor vehicle, including the environmental impact; and to promote dialogue between politicians, these industries, users and other stakeholders. The joint-secretariat partners collaborate to support this mission.",Subject Group,motor
All-Party Parliamentary Group on Motor Neurone Disease,To raise awareness in Parliament of Motor Neurone Disease (MND) and to provide a forum for discussion among parliamentarians on issues that affect MND sufferers.,Subject Group,motor-neurone-disease
All-Party Parliamentary Group for Motorcycle Speedway,To provide a forum for parliamentarians with an interest in the sport of motorcycle speedway and to liaise with the British Speedway Promoters' Association and others with an interest in the sport.,Subject Group,motorcycle-speedway
All-Party Parliamentary Motorcycling Group,"To safeguard motorcycling interests by monitoring legislation for matters affecting motorcycling and taking remedial action where necessary; to represent motorcycling to fellow parliamentarians; to foster the good image of motorcycling, and, by example, encourage others to take up motorcycling.",Subject Group,motorcycling
All-Party Parliamentary Group on Motorsport,"To promote the uptake of STEM (science, technology, engineering and math) subjects throughout the UK using all forms of motorised sport.",Subject Group,motorsport
All-Party Parliamentary Group for Mountain and Cave Rescue,To promote the virtues of mountain rescue and to campaign for improved support and increased awareness of mountain rescue.,Subject Group,mountain-and-cave-rescue
Mountaineering All-Party Parliamentary Group,"To promote the sporting and recreational interests of climbers, hill walkers and mountaineers; to raise awareness of the physical and social benefits of mountaineering; and to campaign for sustainable access to cliffs, mountains and open countryside.",Subject Group,mountaineering
All-Party Parliamentary Group for Multiple Sclerosis,To promote the interests of people affected by MS (Multiple Sclerosis).,Subject Group,multiple-sclerosis
All-Party Parliamentary Group for Muscular Dystrophy,"Raises awareness of all types of muscular dystrophy and neuromuscular conditions and promotes links between parliament, individuals and families affected by these muscle-wasting conditions, charities, scientists, health professionals and decision-makers.",Subject Group,muscular-dystrophy
All-Party Parliamentary Group on Music,To provide a discussion forum between the music industry and parliamentarians.,Subject Group,music
All-Party Parliamentary Group for Music Education,"To inform and support parliamentarians in relation to music education across all ages and in all settings. This will include, but is not limited to, the National Plan for Music Education, challenges facing higher education, teacher education and training, and progression into the creative and cultural sector.",Subject Group,music-education
All-Party Parliamentary Group for Mutuals,To discuss and support mutuals.,Subject Group,mutuals
All-Party Parliamentary Group on Myalgic Encephalomyelitis (ME),"To improve the lives of people with ME. The APPG will achieve this by working collaboratively to stimulate greater understanding and awareness of the illness, and tackling key policy areas to improve outcomes for people affected by ME.",Subject Group,myalgic-encephalomyelitis-me
All-Party Parliamentary Group on National Parks,"To inform members of key issues relating to the UK's national parks and their authorities and areas that may merit national park status; to discuss issues of common concern to national parks; to advance their place in society within Parliament; to highlight the need to conserve and enhance the special qualities of these areas, the opportunities they present for learning and enjoyment, and the need to foster the social and economic well-being of the communities living within them.",Subject Group,national-parks
All-Party Parliamentary Group on Nuclear Energy,A forum for Parliamentarians to discuss civil nuclear energy on a cross party basis.,Subject Group,nuclear-energy
All-Party Parliamentary Group on Nursery Schools and Nursery Classes,To promote best practice in nursery education.,Subject Group,nursery-schools-and-nursery-classes
All-Party Parliamentary Group on Adult and Childhood Obesity,To act as a central resource for childhood and adult obesity related issues; to create a platform for MPs and Peers to discuss the issues around obesity; and to work with experts and stakeholders within the field.,Subject Group,obesity
All-Party Parliamentary Group on Occupational Safety and Health,To provide a forum for the discussion and promotion of issues relating to occupational health and safety; to provide information to members of both houses of parliament on topical issues; to publish reports as and when necessary.,Subject Group,occupational-safety-and-health
All-Party Parliamentary Group on Off-Patent Drugs,To raise the issue of accessibility of off-patient drugs within Parliament; to raise issues of relevance with government and policy makers; and to influence policy to improve access.,Subject Group,off-patent-drugs
British Offshore Oil and Gas All-Party Parliamentary Group,"To provide a forum for discussion of issues relevant to the British offshore oil and gas industry and other related industries, and to raise matters with government and industry itself.",Subject Group,offshore-oil-and-gas
All-Party Parliamentary Group on the UK Oil Refining Sector,"To provide a forum for discussion of issues relevant to the UK oil refining sector, discuss latest developments relevant to current policy priorities, UK and EU legislation and to raise matters with government and industry itself.",Subject Group,oil-refining-sector
All-Party Parliamentary Opera Group,To provide a focal point for MPs and Peers with an interest in opera; to further the appreciation of opera; and to provide a contact point between this art form and Parliament.,Subject Group,opera
All-Party Parliamentary Group on Oral Hormone Pregnancy Tests,To investigate the use of the drug 'Primodos' and other oral hormone pregnancy tests.,Subject Group,oral-hormone-pregnancy-tests
All-Party Parliamentary Osteoposis Group,To inform both Houses about Osteoporosis.,Subject Group,osteoposis
All-Party Parliamentary Group on Ovarian Cancer,To provide a forum for MPs and peers to discuss ovarian cancer related issues; to raise areas of concern with government or other policy makers; to raise the profile of ovarian cancer within Parliament and seek opportunities to help improve survival and quality of life for women.,Subject Group,ovarian-cancer
All-Party Parliamentary Group for the Packaging Manufacturing Industry.,To create a better understanding of the UK packaging manufacturing industry and its products; to address issues facing the industry from regulation; and to promote the UK as a centre of excellence for packaging manufacture.,Subject Group,packaging-manufacturing-industry
All-Party Parliamentary Group on Pakistan Minorities,To raise awareness of and help eliminate discrimination and persecution of religious minorities (who suffer horrendous atrocities) in Pakistan by the state and others.,Subject Group,pakistan-minorities
All-Party Parliamentary Group on Pancreatic Cancer,To raise the profile of pancreatic cancer in Parliament; to raise issues of relevance with government and policy makers; and to influence policy to improve life for pancreatic cancer patients and survivors.,Subject Group,pancreatic-cancer
All-Party Parliamentary Group on Parents and Families,"To provide impartial, informed and progressive debate on the key issues facing parents and families across the United Kingdom.",Subject Group,parents-and-families
All-Party Parliamentary Group on Park Homes,"To bring together parliamentarians, park homeowners and industry representatives to discuss issues of common interest including legislation and its enforcement.",Subject Group,park-homes
All-Party Parliamentary Group on Parkinson's,The group aims to raise awareness of the condition among parliamentarians and influence legislation and policy makers to improve the lives of people affected by the condition.,Subject Group,parkinsons
All-Party Parliamentary Group for Patient and Public Involvement in Health and Social Care,"The APPG will hear evidence from organisations, groups and individuals with expert knowledge and experience of complaints handling. The APPG will hear best practice guidelines and protocols for dealing with NHS complaints. This inquiry will be looking at complaints handling both at a local level and at second stage.",Subject Group,patient-and-public-involvement-in-health-and-social-care
All-Party Parliamentary Group for Patient Safety,To address and continue to highlight patient safety issues in the health and care sector.,Subject Group,patient-safety
All-Party Parliamentary Group on Payment Systems,"To raise awareness in Parliament of issues relating to payment systems by providing a forum for briefings, debate and discussion. The group will address developments in payment systems affecting consumers, merchant business (including small business) and the role of payment systems in the smooth working on the UK economy and society. Specifically the group will focus on customer experience, inclusion, small business, regulation, innovation, security, identity and fraud, and costs.",Subject Group,payment-systems
All-Party Parliamentary Group on Penal Affairs,To increase Members' knowledge of penal affairs and to work through parliamentary channels to reform the penal system.,Subject Group,penal-affairs
All-Party Parliamentary Group on Pensions,To develop and encourage pension arrangements in the UK.,Subject Group,pensions
Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Subject Group,performers-alliance
All-Party Parliamentary Group on Personalised Medicine,To focus on exploring the benefits for patients of cutting-edge innovations and the contemporary issues affecting their implementation into the healthcare system for more effective and personalised medicine.,Subject Group,personalised-medicine
All-Party Parliamentary Group on Pharmacy,To raise awareness of the profession of pharmacy and to promote pharmacists' current and potential contribution to the health of the nation.,Subject Group,pharmacy
All-Party Parliamentary Philately Group,"To bring together all who are interested in philately; to promote and educate; to co-operate with the Royal Mail and the Royal Philatelic Society; and to hold meetings, discussions and events relating.",Subject Group,philately
All-Party Parliamentary Group on Photonics,To raise awareness of the photonics industry and recognise the impact it makes on the UK economy and its potential for future economic growth.,Subject Group,photonics
All-Party Parliamentary Pigeon Racing Group,To raise and promote understanding and support of pigeon racing in the UK and Ireland.,Subject Group,pigeon-racing
All-Party Parliamentary Group on Policing,To promote better understanding of policing issues amongst both Houses of Parliament.,Subject Group,policing
"All-Party Parliamentary Group on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's Programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject Group,population-development-and-reproductive-health
All-Party Parliamentary Group on Poverty,"To provide awareness of the impact of poverty, its causes and consequences, and to encourage the spread of good practice to alleviate and eliminate it.",Subject Group,poverty
All-Party Parliamentary Group for Prescribed Drug Dependence,"Increasing numbers of prescriptions for psychoactive drugs are being given to both adults and children, with growing evidence that long-term use leads to worse outcomes. The group will recognise, address and reduce the harm caused by dependence upon these medications.",Subject Group,prescribed-drug-dependence
All-Party Parliamentary Group on Primary Care and Public Health,To raise the profile of primary care and public health within Parliament; to speak within Parliament on behalf of users and those working in the NHS; to place primary care and public health on the Government's agenda and to inform debate with outside bodies.,Subject Group,primary-care-and-public-health
All-Party Parliamentary Print Group,To provide a forum in which issues impacting on the printing industry may be debated; to promote understanding of those issues and of the industry; and to raise the profile of the printing industry among parliamentarians.,Subject Group,print
All-Party Parliamentary Group for the Private Rented Sector,"To raise greater awareness of the private rented housing sector in Parliament; to provide a forum for parliamentarians to discuss issues pertinent to the sector and engage with landlords, tenants and other interested parties; to hold inquiries into policy and operational issues in this sector and produce reports.",Subject Group,private-rented-sector
All-Party Parliamentary Group on Pro Bono,To promote and raise awareness of pro bono work both nationally and internationally.,Subject Group,pro-bono
All-Party Parliamentary Pro-Life Group,"To provide a forum for discussion of pro-life issues including abortion, euthanasia and research upon the human embryo.",Subject Group,pro-life
All-Party Parliamentary Group for Proportional Representation,"To build alliances for the adoption of a system of proportional representation, for elections to the House of Commons and to local authorities in England.",Subject Group,proportional-representation
All-Party Parliamentary Group on Prostitution and the Global Sex Trade,"To raise awareness of the impact of the sale of sexual services on those involved and develop proposals for government action; to tackle individuals who create demand for sexual services and those who control prostitution; to protect prostituted women, helping them to exit prostitution; and to prevent girls entering prostitution.",Subject Group,prostitution-and-the-global-sex-trade
All-Party Parliamentary Group for New Psychoactive Substances and Volatile Substance Abuse,To raise awareness of NPS and VSA in Parliament and encourage discussion of issues around substances covered under the Psychoactive Substances Act 2016. The group works to ensure that the government adopts policies that will reduce the harm of these substances and help spread good evidence-based prevention throughout the UK.,Subject Group,psychoactive-substances-and-volatile-substance-abuse
All-Party Parliamentary Group on Public Legal Education,To educate the public about the legal system; to increase understanding in Parliament of public legal education; to provide a forum for parliamentarians to work with organisations in the field to ensure a supportive policy environment that enables public legal education to flourish and to encourage initiatives which improve legal capability.,Subject Group,public-legal-education
All-Party Parliamentary Group on Publishing,"To promote British publishing excellence and its economic, social, educational and cultural contribution, and to facilitate better understanding among parliamentarians of the issues facing the sector.",Subject Group,publishing
